animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
202,4B1D5D0E6D,F,NA,21-May-13,21.2,15.0/20.6,455,moderate
8,41390C3B64,F,NA,22-May-13,29,36.7,980,moderate
51,4264061A50,F,NA,22-May-13,27.5,39.2,830,moderate
171,491A251836,F,NA,22-May-13,22.8,34.8,520,moderate
393,9.89001E+14,F,NA,22-May-13,25.4,31.1,450,moderate
62,4263764D0F,F,NA,11-Apr-14,27.6,39.7,970,moderate
114,445D6F683C,F,NA,11-Apr-14,32,44.0,1600,moderate
139,453432497A,F,NA,11-Apr-14,25.9,15.0/25.4,735,moderate
198.2,4B1E0A485B,F,NA,11-Apr-14,22.5,31.9,470,moderate
228,4B21157739,F,NA,11-Apr-14,24.8,38.1,760,moderate
296,9.85121E+14,F,NA,11-Apr-14,19.4,27.3,325,moderate
313,9.85121E+14,F,NA,11-Apr-14,28.5,41.3,765,moderate
343,9.85121E+14,F,NA,11-Apr-14,18.3,24.8,250,moderate
402,9.89001E+14,F,NA,11-Apr-14,20.5,27.6,305,moderate
54,42640A7314,F,NA,13-May-14,25,34.5,690,moderate
224,4B21565025,F,NA,13-May-14,20.1,29.2,385,moderate
283,4B213A5D77,F,NA,13-May-14,25.4,31.9,665,moderate
415,9.89001E+14,F,NA,13-May-14,15.7,23.3,176,moderate
127,452F18024A,F,NA,21-May-14,19.7,28.2,410,moderate
153,452E323A32,F,NA,21-May-14,28.9,38.7,1012,moderate
46,42644B2A03,F,NA,12-May-15,27.2,31.0,810,moderate
51,4264061A50,F,NA,12-May-15,28,39.2,780,moderate
54,42640A7314,F,NA,12-May-15,24.7,34.5,620,moderate
122,452F136F6B,F,NA,12-May-15,29.5,40.7,990,moderate
197,4B21316F1A,F,NA,12-May-15,23.1,35.1,550,moderate
228,4B21157739,F,NA,12-May-15,26.1,38.5,800,moderate
168,491A1D3348,F,NA,21-May-15,28.6,38.9,915,moderate
169,491A6E2D37,F,NA,21-May-15,29,26.3,1130,moderate
62,4263764D0F,F,NA,13-May-16,27.7,40.2,990,moderate
