animal_id,sex,age,date,svl,tail-length,body-mass,feeding
65A,female,5.6,5/15/08,19.9,27.1,315,none
65A,female,7.7,5/20/11,23.5,30.9,535,none
65A,female,9.6,5/9/12,24.9,31.8,620,none
65A,female,13.7,5/20/16,26.5,34.1,850,none
65A,female,14.7,5/16/17,26.2,34.1,770,none
65A,female,15.7,6/3/18,26.5,33.9,785,none
65A,female,16.7,5/20/19,26.4,34.4,800,none
66A,female,NA,6/30/07,31.5,41.2,1185,none
66B,male,NA,7/20/06,23.2,34,485,none
66B,male,NA,7/17/08,26.7,38.1,693,none
66R,female,NA,7/19/06,34.5,NA,1530,none
66R,female,NA,7/1/07,NA,NA,1425,none
66R,female,NA,7/15/08,33,NA,1600,none
66R,female,NA,7/14/09,33.8,NA,1465,none
66R,female,NA,5/19/10,33.1,NA,1203,none
66R,female,NA,5/9/12,34,NA,1455,none
66R,female,NA,5/16/17,33.8,NA,1530,none
67A,female,6.7,5/22/09,22.6,31.3,566,none
67A,female,8.7,5/20/11,26,35.3,688,none
67A,female,13.7,5/20/16,28.8,38.5,1030,none
67B,male,NA,7/14/09,34.8,46.2,1635,none
67B,male,NA,5/20/11,34.2,47.2,1403,none
68A,female,NA,5/15/08,34.5,41.3,1229,none
68B,male,4.6,5/15/08,18.5,26.1,245,none
68B,male,4.8,7/16/08,19.8,27.2,310,none
68B,male,7.7,5/20/11,24.5,33,596,none
68B,male,8.6,5/9/12,24.9,34,586,none
68B,male,12.7,5/20/16,28.7,38.3,965,none
69A,male,NA,5/15/08,39.5,52.8,2595,none
69A,male,NA,5/19/10,42,54.5,2323,none
69A,male,NA,5/20/11,42.5,54.4,2410,none
69B,female,4.6,5/15/08,18.4,25.2,238,none
69B,female,4.8,7/15/08,18.8,26,300,none
69B,female,13.7,5/15/17,28.5,38,1050,none
69B,female,14.7,6/2/18,29.3,38.6,990,none
70A,male,NA,5/15/08,23.2,31.3,475,none
70A,male,NA,6/23/16,30.2,39,980,none
70B,female,NA,5/15/08,26.8,36,755,none
70B,female,NA,7/14/08,26.6,35.8,710,none
70B,female,NA,5/20/11,28.8,37.1,868,none
70B,female,NA,5/20/16,29.5,38.7,955,none
71A,female,2.6,5/15/08,13.5,18.8,130,none
71A,female,10.7,5/20/16,25.1,33.6,705,none
71A,female,11.7,5/16/17,26.1,34.6,740,none
71A,female,13.7,5/20/19,27.2,34.3,808,none
72A,female,5.6,5/15/08,20,27.5,290,none
72A,female,9.6,5/9/12,25.5,33.2,630,none
72A,female,13.8,6/24/16,28.1,35.6,825,none
72A,female,13.9,9/8/16,26.3,34.9,850,none
72B,male,NA,5/22/09,24.2,32.5,680,none
72B,male,NA,5/20/16,27.5,36.3,875,none
73A,female,3.6,5/15/08,16.1,21.6,160,none
73A,female,5.7,5/19/10,19.1,26.5,290,none
73A,female,11.7,5/20/16,25.5,32.8,710,none
73A,female,11.9,9/10/16,25,32.7,620,none
73A,female,12.7,5/15/17,25.5,33.4,715,none
73A,female,14.7,5/20/19,26.3,33.6,710,none
74A,male,11.9,9/8/16,25.5,33.3,760,none
77A,female,1.7,5/22/09,12,15.5,55,none
77A,female,8.9,9/8/16,19.1,24.8,270,none
77A,female,10.7,6/3/18,19.7,26.3,340,none
78A,male,4.7,5/22/09,17,22.7,205,none
78B,female,3.7,5/22/09,16.7,22.3,235,none
78B,female,10.7,5/20/16,26.5,35.7,863,none
78B,female,11.7,5/16/17,27.5,35.8,835,none
79A,male,4.7,5/22/09,18.5,25.1,272,none
79A,male,6.7,5/20/11,21.8,28.8,385,none
79A,male,7.6,5/9/12,22.2,30.4,440,none
79B,female,NA,5/19/10,20.5,27.5,290,none
79B,female,NA,5/9/12,22.5,31.1,504,none
79B,female,NA,5/16/17,26.2,34.2,NA,none
80A,male,4.7,5/22/09,18.4,25,290,none
80B,female,NA,5/20/11,25.3,33.2,550,none
81A,male,0.7,5/22/09,10.6,14.7,40,none
81A,male,7.9,9/8/16,20.5,27.8,410,none
82A,female,4.6,7/14/09,17.6,23.2,225,none
82A,female,7.6,5/9/12,20.8,27.7,375,none
82A,female,11.9,9/8/16,22,29.2,420,none
82B,male,NA,5/19/10,27,37,750,none
82C,female,NA,5/20/11,24.1,33.6,570,none
84A,female,NA,7/15/09,21.4,28.4,435,none
84A,female,NA,5/20/16,25.5,33,640,none
84B,male,5.7,5/20/11,18.6,24.6,245,none
85A,female,NA,7/15/09,31.6,38.4,1165,none
86A,male,NA,7/16/09,22.2,28.4,425,none
86A,male,NA,5/9/12,26.2,36,810,none
86B,female,NA,5/19/10,18.7,24.4,230,none
87A,male,NA,7/16/09,28.6,38.1,835,none
87B,female,NA,5/19/10,18.1,24.1,250,none
87B,female,NA,5/9/12,21,27.2,378,none
87B,female,NA,5/20/16,24.2,32.2,645,none
87B,female,NA,9/10/16,24.2,32.2,645,none
87B,female,NA,6/3/18,25.1,32.6,690,none
88A,female,NA,7/16/09,25.1,31.7,570,none
88B,male,NA,5/20/11,20,26.8,275,none
88B,male,NA,5/20/16,27.9,37.3,1014,none
88B,male,NA,5/15/17,29.7,39,1030,none
89A,female,NA,5/19/10,19.9,26.4,283,none
8A,female,NA,5/9/12,21.6,30,410,none
8A,female,NA,5/20/16,25.1,33.6,705,none
8A,female,NA,6/23/16,25.5,34.2,675,none
8A,female,NA,9/10/16,24.3,33.6,595,none
92A,male,1.7,5/19/10,12.6,17,77,none
92A,male,7.8,6/24/16,19.5,25.2,315,none
94A,female,4.7,5/20/11,17.6,23,220,none
95A,female,5.7,5/20/11,19,25.7,300,none
95A,female,11.7,5/16/17,24.7,31.6,575,none
96A,female,4.7,5/20/11,17.8,22.8,185,none
97A,male,0.7,5/20/11,11.1,15.3,50,none
97A,male,5.8,6/24/16,17.6,23,210,none
98A,female,2.7,5/20/11,14.5,16.6,140,none
98A,female,7.7,9/8/16,19.6,23.5,340,none
98A,female,8.7,5/16/17,20.9,NA,360,none
98A,female,10.7,5/20/19,20.9,NA,340,none
9A,male,NA,5/20/16,38,48.2,2045,none
9A,male,NA,6/23/16,38.1,48.2,2310,none
9A,male,NA,9/10/16,36.7,47.2,2330,none
9A,male,NA,5/16/17,38.5,48.8,2190,none
NEW,female,NA,3/6/18,17,23,220,none
