animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding,
84,4B084F0B41,F,NA,08-Jun-18,27.3,36.5,870,none,
88,4A0E4C367B,F,NA,08-Jun-18,30.7,39.3,1040,none,
102,985121021188915,F,NA,08-Jun-18,27.3,36.8,910,none,
140,982000407478910,F,NA,08-Jun-18,28.2,38.3,970,none,
38,4B101E605F,F,NA,08-Jun-19,28.7,37.4,725,none,
62,4A0E3E7E39,F,NA,08-Jun-19,27.3,34.4,790,none,
94,4B0A06574F,F,NA,08-Jun-19,27.3,14.5/26.4,765,none,
131,982000403120606,F,NA,08-Jun-19,28.2,28.8/30.3,900,none,
91,4A0D7A3E3E,F,NA,31-Mar-10,29.7,38.5,1080,none,
90,4B080F112C,F,NA,08-Jun-18,28.7,38.6,915,none,
122,989001000105631,F,NA,08-Jun-18,29.2,38.3,905,none,
145,982000407478956,F,NA,08-Jun-18,26.7,36.3,890,none,
39,4A0E381E28,F,NA,08-Jun-19,25.4,36.4,648,none,
43,4A0E525839,F,NA,08-Jun-19,30,39.9,1060,none,
45,4B06000656,F,NA,08-Jun-19,29.1,36.4,695,none,
156,982126056325409,F,NA,08-Jun-19,23,35,545,none,
42,4A0E512A7A,F,NA,24-Mar-08,28.4,37.5,840,none,
96,4A0E3B6114,F,NA,31-Mar-10,28.7,33/34.5,720,none,
130,982000403120739,F,NA,20-Jun-16,27.8,37.6,755,none,
132,982000403120677,F,NA,20-Jun-16,25.7,15.7/25.0,660,none,
77,4B0807772F,F,NA,08-Jun-18,30.6,39.9,1190,none,
142,982000407478961,F,NA,08-Jun-18,29.0,39.1,1005,none,
146,982000407478899,F,NA,08-Jun-18,27.1,39.0,635,none,
41,4A0D4E7B09,F,NA,08-Jun-19,29.5,40.3,995,none,
44,4A0E462635,F,NA,08-Jun-19,29.4,40.8,800,none,
104,985121021215861,F,NA,08-Jun-19,28.6,36.8,875,none,
70,4A0E437004,F,NA,29-Mar-10,30.4,41.1,1180,none,
51,4A7E764301,F,NA,08-Jun-19,25.5,37.5,805,none,
110,985121021146825,F,NA,18-Apr-12,11.5,18.2,70,none,
118,989001000105655,F,NA,08-Apr-14,13.9,22.2,105,none,
138,982000403120670,F,NA,20-Jun-16,18.7,27.7,285,none,
148,982126056325417,F,NA,08-Jun-19,12,19.1,64,none,
131,982000403120606,F,NA,20-Jun-16,26.7,37,840,none,
141,982000407478964,F,NA,08-Jun-18,14.3,20.2,109,none,
149,982126056325365,F,NA,08-Jun-19,11.9,18.9,66,none,
157,982126056325403,F,NA,08-Jun-19,13,18,89,none,
151,982126056325415,F,NA,08-Jun-19,16.9,25.6,185,none,
11,4535091946,F,NA,07-Apr-06,24.5,35,570,none,
11,4535091946,F,NA,25-Mar-08,25.3,35.1,700,none,
58,4A0E513913,F,NA,25-Mar-08,20.8,30.5,370,none,
101,985121021104213,F,NA,16-Apr-12,23,32.7,500,none,
114,989001000105579,F,NA,08-Apr-14,28.1,38,715,none,
117,989001000105647,F,NA,08-Apr-14,22.3,33.4,350,none,
129,982000403120663,F,NA,20-Jun-16,16.5,27.3,230,none,
136,982000403120746,F,NA,20-Jun-16,18.8,29.2,300,none,
1,4535226A66,F,NA,07-Apr-06,25.2,34.9,550,none,
2,442A5B742A,F,NA,07-Apr-06,26.6,39.6,840,none,
20,4534691D4E,F,NA,07-Apr-06,27.9,40.1,760,none,
45,4B06000656,F,NA,24-Mar-08,25.4,35.5,670,none,
57,4A7B1F5C39,F,NA,25-Mar-08,24.1,36.1,640,none,
72,4B0807426B,F,NA,29-Mar-10,21.4,31.9,470,none,
84,4B084F0B41,F,NA,29-Mar-10,21.5,31.2,440,none,
92,4B08502B06,F,NA,31-Mar-10,24.7,37,650,none,
97,985121021217422,F,NA,16-Apr-12,26.3,37.1,850,none,
111,985121021200661,F,NA,18-Apr-12,22.4,24.3/27.9,480,none,
116,989001000105596,F,NA,08-Apr-14,22,28.1,445,none,
44,4A0E462635,F,NA,08-Jun-18,28.7,41.2,1135,none,
74,4B096F6C45,F,NA,08-Jun-18,26.3,37.1,740,none,
132,982000403120677,F,NA,08-Jun-18,26.8,16.5/25.6,770,none,
159,985121021146825,F,NA,08-Jun-19,27,36.6,780,none,
19,44614A3837,F,NA,07-Apr-06,23.1,34.8,540,none,
24,4425093A14,F,NA,07-Apr-06,23.9,36.2,540,none,
30,4534012D12,F,NA,07-Apr-06,26,34.6,540,none,
19,44614A3837,F,NA,24-Mar-08,25.4,34.5,660,none,
43,4A0E525839,F,NA,24-Mar-08,23.2,35.4,620,none,
47,4A0E445541,F,NA,24-Mar-08,27.8,37.4,960,none,
52,4B0E7E775D,F,NA,24-Mar-08,25.9,35.1,740,none,
56,4B0F1A080C,F,NA,25-Mar-08,25.8,37,850,none,
64,4B066B710D,F,NA,25-Mar-08,26.5,35.7,820,none,
66,4B10325379,F,NA,25-Mar-08,27,38.5,810,none,
67,4B15760426,F,NA,29-Mar-10,24,32.2,550,none,
69,4A0E507F50,F,NA,29-Mar-10,27,38.6,850,none,
51,4A7E764301,F,NA,16-Apr-12,26.4,37.8,880,none,
99,985121021199441,F,NA,16-Apr-12,27.4,38.4,1000,none,
103,985121021159797,F,NA,16-Apr-12,20,33,420,none,
125,989001000105613,F,NA,08-Apr-14,20.2,31.1,345,none,
1,4535226A66,F,NA,08-Jun-18,26.7,33.7,735,none,
97,985121021217422,F,NA,08-Jun-18,28.0,25.3/26.1,990,none,
125,989001000105613,F,NA,08-Jun-18,26.7,37.2,810,none,
138,982000403120670,F,NA,08-Jun-18,23.3,33.3,560,none,
51,4A7E764301,F,NA,24-Mar-08,26.5,38,840,none,
12,442A7C1022,M,NA,07-Apr-06,28.6,40.3,890,none,
22,452E7C1858,M,NA,07-Apr-06,28.1,41.6,780,none,
7,454A7E5830,M,NA,29-Mar-10,NA,NA,NA,none,
14,4534787324,M,NA,29-Mar-10,35.5,47,1850,none,
15,453358090A,M,NA,29-Mar-10,21,26.1,390,none,
16,452E601029,M,NA,29-Mar-10,30.1,42.2,1150,none,
33,452F191303,M,NA,29-Mar-10,31.8,42.5,1320,none,
51,4A7E764301,M,NA,29-Mar-10,25.8,37.6,780,none,
15,453358090A,M,NA,16-Apr-12,22.5,28.9,490,none,
16,452E601029,M,NA,16-Apr-12,28.5,42.3,1100,none,
22,452E7C1858,M,NA,16-Apr-12,28.5,38.3,920,none,
26,452E516B13,M,NA,16-Apr-12,27,40.2,940,none,
35,4A0E3D1A2A,M,NA,16-Apr-12,29.4,39.9,1190,none,
93,4B097E4E0A,M,NA,16-Apr-12,32.2,43.7,1360,none,
14,4534787324,M,NA,18-Apr-12,dead,dead,dead,none,
53,4B0623797D,M,NA,18-Apr-12,26.1,35.5,760,none,
8,452E7E5A72,M,NA,08-Apr-14,29.4,40.5,985,none,
22,452E7C1858,M,NA,08-Apr-14,27,38.8,720,none,
37,4B024A7245,M,NA,08-Apr-14,29.6,38.9,900,none,
61,4A0E3C4168,M,NA,08-Apr-14,33,37.2,1090,none,
65,4B07003B30,M,NA,08-Apr-14,26.1,37.9,875,none,
82,4A0E352834,M,NA,08-Apr-14,dead,dead,dead ,none,
128,989001000105653,M,NA,08-Apr-14,28.4,37.2,730,none,
16,452E601029,M,NA,20-Jun-16,29.4,42.6,985,none,
33,452F191303,M,NA,20-Jun-16,36,44.6,1693,none,
61,4A0E3C4168,M,NA,20-Jun-16,31,37.4,1180,none,
75,4A0E3B2F05,M,NA,20-Jun-16,32,40.5,1495,none,
100,985121021183806,M,NA,20-Jun-16,27.5,36.4,1040,none,
10,453438321F,M,NA,07-Apr-06,24,34.1,410,none,
27,452F186D7B,M,NA,07-Apr-06,28.5,34.9,780,none,
7,454A7E5830,M,NA,07-Apr-06,26.9,37.5,660,none,
21,44224C3347,M,NA,07-Apr-06,25.1,37.5,650,none,
50,4B06200762,M,NA,24-Mar-08,27.1,38.5,850,none,
13,442444121B,M,NA,07-Apr-06,26.2,36.1,730,none,
59,4A455E685F,M,NA,25-Mar-08,26.3,37.1,900,none,
46,4A0E51023F,M,NA,24-Mar-08,29.6,41.2,1030,none,
53,4B0623797D,M,NA,24-Mar-08,23.6,32.4,610,none,
8,452E7E5A72,M,NA,07-Apr-06,23.3,32.6,480,none,
33,452F191303,M,NA,07-Apr-06,29,39.3,880,none,
40,4A0E464558,M,NA,24-Mar-08,26,34.1,730,none,
16,452E601029,M,NA,07-Apr-06,29,43.9,1000,none,
63,4A461B7B5C,M,NA,25-Mar-08,24.6,33.5,640,none,
54,4A0E413634,M,NA,25-Mar-08,31,22.8/32.7,1310,none,
4,4423496726,M,NA,07-Apr-06,33,43.1,1180,none,
15,453358090A,M,NA,07-Apr-06,17.2,25.4,190,none,
133,982000403120664,M,NA,20-Jun-16,28.1,38.3,1080,none,
100,985121021183806,M,NA,16-Apr-12,25.6,32.8,720,none,
128,989001000105653,M,NA,08-Jun-18,32.5,40.1,1345,none,
85,4A0E494E21,M,NA,29-Mar-10,25.7,36.6,700,none,
143,982000407478882,M,NA,08-Jun-18,30.5,35.6,1005,none,
124,989001000105660,M,NA,08-Apr-14,25.4,35.7,555,none,
8,452E7E5A72,M,NA,29-Mar-10,27.2,37.9,840,none,
36,4A0E3E5052,M,NA,24-Mar-08,30.9,43.3,1280,none,
68,4B172B012A,M,NA,29-Mar-10,22.3,30.3,410,none,
135,982000403120791,M,NA,20-Jun-16,34,42.8,1745,none,
54,4A0E413634,M,NA,08-Jun-18,34.0,22.5/32.1,1405,none,
126,989001000105648,M,NA,08-Jun-18,28.5,36.9,965,none,
83,4B08492775,M,NA,29-Mar-10,31.7,29.3/ 35,1410,none,
152,982126056325372,M,NA,08-Jun-19,9.8,16.5,32,none,
105,985121021197178,M,NA,16-Apr-12,29,38.3,1020,none,
108,985121021201650,M,NA,18-Apr-12,30.1,39.1,1160,none,
109,985121021214801,M,NA,18-Apr-12,28,38.5,1050,none,
112,985121024820836,M,NA,18-Apr-12,29.1,37.6,970,none,
113,985121024802671,M,NA,18-Apr-12,28,39.3,920,none,
119,989001000105604,M,NA,08-Apr-14,27.3,37.2,680,none,
120,989001000105611,M,NA,08-Apr-14,31.1,41.4,1110,none,
123,989001000105590,M,NA,08-Apr-14,27.5,38,795,none,
126,989001000105648,M,NA,08-Apr-14,26.5,37.1,610,none,
127,989001000105589,M,NA,08-Apr-14,29.7,40.7,940,none,
33,452F191303,M,NA,08-Jun-18,36.1,44.2,1910,none,
105,985121021197178,M,NA,08-Jun-18,31.5,39.6,1155,none,
120,989001000105611,M,NA,08-Jun-18,32.4,41.4,1515,none,
144,982000407478915,M,NA,08-Jun-18,30.0,34.0,1180,none,
65,4B07003B30,M,NA,08-Jun-19,27.6,38.8,1185,none,
113,985121024802671,M,NA,08-Jun-19,30.1,39.6,900,none,
128,989001000105653,M,NA,08-Jun-19,32.9,40.6,1200,none,
153,982126056325338,M,NA,08-Jun-19,32.4,44.6,1200,none,
155,982126056325334,M,NA,08-Jun-19,32.5,43.4,1410,none,
158,982126056325337,M,NA,08-Jun-19,34.5,42.7,1655,none,
3,452F127D35,M,NA,07-Apr-06,33.4,45.5,1080,none,
5,4533773E45,M,NA,07-Apr-06,29.5,41.1,840,none,
9,452E644335,M,NA,07-Apr-06,32.8,43.2,1300,none,
14,4534787328,M,NA,07-Apr-06,33.8,48.7,1480,none,
17,4534683C7A,M,NA,07-Apr-06,31.4,35.8,1010,none,
23,4534567E70,M,NA,07-Apr-06,36,38.5,1280,none,
25,452E2A7B53,M,NA,07-Apr-06,30.7,39.7,1030,none,
26,452E516B13,M,NA,07-Apr-06,26.7,40.1,810,none,
31,45345F3D5D,M,NA,07-Apr-06,30.1,42.1,930,none,
32,452F393123,M,NA,07-Apr-06,31.4,41.1,1080,none,
9,452E644335,M,NA,24-Mar-08,32.5,42.6,1260,none,
25,452E2A7B53,M,NA,24-Mar-08,30.2,40.4,1240,none,
35,4A0E3D1A2A,M,NA,24-Mar-08,26.9,37.2,890,none,
37,4B024A7245,M,NA,24-Mar-08,25.8,35.1,730,none,
49,4A7A482077,M,NA,24-Mar-08,32.6,42.5,1040,none,
5,4533773E45,M,NA,25-Mar-08,29.6,41.4,1010,none,
61,4A0E3C4168,M,NA,25-Mar-08,32.1,40.8,1360,none,
25,452E2A7B53,M,NA,29-Mar-10,32,40.7,1310,none,
49,4A7A482077,M,NA,29-Mar-10,31.2,39,1200,none,
75,4A0E3B2F05,M,NA,29-Mar-10,32.7,42.8,1450,none,
78,4B083E097B,M,NA,29-Mar-10,33.9,44.8,1310,none,
82,4A0E352834,M,NA,29-Mar-10,31,31.2,1190,none,
89,4A0D7D767E,M,NA,29-Mar-10,27.6,33.4,910,none,
93,4B097E4E0A,M,NA,31-Mar-10,32.5,40.6,1370,none,
63,4A461B7B5C,M,NA,20-Jun-16,30,38,1195,none,
127,989001000105589,M,NA,20-Jun-16,31.5,41.1,1295,none,
112,985121024820836,M,NA,08-Jun-18,33.4,42.1,1640,none,
119,989001000105604,M,NA,08-Jun-18,33.2,42.3,1440,none,
124,989001000105660,M,NA,08-Jun-18,32.2,40.9,1420,none,
75,4A0E3B2F05,M,NA,08-Jun-19,34.5,40.9,1590,none,
85,4A0E494E21,M,NA,08-Jun-19,36,43.6,1715,none,
119,989001000105604,M,NA,08-Jun-19,33.3,42.7,1380,none,
154,982126056325389,M,NA,08-Jun-19,30.4,38.2,1130,none,
65,4B07003B30,M,NA,25-Mar-08,26,34.9,740,none,
,,,,,,,,,
