animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
15,490E4D2341,M,NA,22-May-10,53,67.7,6140,high
25,4B1D55402B,M,NA,12-Apr-14,53.2,67.5,5645,high
7,501F65652B,M,NA,22-May-00,53.7,69.5,7030,none
7,501F65652B,M,NA,28-May-08,55.4,68.7,7170,high
155,982000409784613,M,NA,11-Jun-19,NA,NA,2890,high
6,501E610000,M,NA,02-Jun-07,48.1/49.1,69.7/69.6,4970,high
15,490E4D2341,M,NA,02-Jun-07,48.2/48.4,67.8/66.8,5580,high
7,501F65652B,M,NA,19-May-12,dead,dead,dead,high
61,985121024825360,M,NA,13-May-13,dead,dead,dead,high
20,491A4F4031,F,NA,02-Jun-07,NA,NA,2490,high
7,501F65652B,M,NA,02-Jun-07,NA,NA,7140,high
16,491A572C2C,M,NA,02-Jun-07,NA,NA,4590,high
19,490E587C79,NA,NA,02-Jun-07,NA,NA,3210,high
