animal_id,Island
42/0B,UCay
43A,UCay
43B,UCay
43/0A,UCay
43/0B,UCay
44A,UCay
44B,UCay
44C,UCay
44/0A,UCay
45A,UCay
45B,UCay
45C,UCay
45!,UCay
45/0A,UCay
45/0B,UCay
74C,UCay
46A,UCay
46B,UCay
47A,UCay
47B,UCay
47C,UCay
47D,UCay
48A,UCay
48B,UCay
48C,UCay
49A,UCay
49B,UCay
50B,UCay
50/0A,UCay
50/0,UCay
50/0B,UCay
51A,UCay
51B,UCay
51C,UCay
52A,UCay
52B,UCay
52C,UCay
52/0A,UCay
52/0B,UCay
53A,UCay
53B,UCay
53C,UCay
53D,UCay
53/0A,UCay
54A,UCay
54B,UCay
54C,UCay
54/0A,UCay
55A,UCay
55B,UCay
55C,UCay
55D,UCay
55/0A,UCay
55/0B,UCay
56B,UCay
57A,UCay
57B,UCay
57C,UCay
58A,UCay
58B,UCay
58C,UCay
60A,UCay
60B,UCay
61A,UCay
61B,UCay
61C,UCay
61/0A,UCay
61/0B,UCay
62A,UCay
62B,UCay
62C,UCay
62D,UCay
62/0A,UCay
63A,UCay
63B,UCay
63C,UCay
63D,UCay
63/0A,UCay
64A,UCay
64B,UCay
64C,UCay
64/0A,UCay
65A,UCay
65B,UCay
65C,UCay
65/0A,UCay
66B,UCay
66C,UCay
68A,UCay
68B,UCay
68C,UCay
69A,UCay
69B,UCay
60/0A,UCay
70B,UCay
70/0A,UCay
71A,UCay
71/0A,UCay
72A,UCay
72B,UCay
72C,UCay
72/0A,UCay
73A,UCay
73B,UCay
73C,UCay
73D,UCay
73/0A,UCay
74B,UCay
82/0A,UCay
74/0A,UCay
75A,UCay
75B,UCay
75/0A,UCay
76A,UCay
76B,UCay
77A,UCay
77B,UCay
77C,UCay
78A,UCay
78B,UCay
83/0A,UCay
79A,UCay
79B,UCay
80A,UCay
80B,UCay
80C,UCay
85/0A,UCay
81A,UCay
81B,UCay
81C,UCay
81D,UCay
81/0A,UCay
82A,UCay
82B,UCay
82C,UCay
96/0A,UCay
83A,UCay
83B,UCay
83C,UCay
83D,UCay
98C,UCay
84A,UCay
84B,UCay
84/0A,UCay
85A,UCay
85B,UCay
85C,UCay
98/0A,UCay
86A,UCay
86B,UCay
87A,UCay
87B,UCay
90/88,UCay
88A,UCay
88B,UCay
88C,UCay
89A,UCay
89B,UCay
89C,UCay
90A,UCay
90B,UCay
104/0A,UCay
91A,UCay
91B,UCay
91C,UCay
91D,UCay
92A,UCay
92B,UCay
92C,UCay
92/0A,UCay
93A,UCay
93B,UCay
93C,UCay
93/0A,UCay
94A,UCay
94B,UCay
94C,UCay
94/0A,UCay
95A,UCay
95B,UCay
95C,UCay
95/0A,UCay
96A,UCay
96B,UCay
96C,UCay
97A,UCay
97B,UCay
98A,UCay
98B,UCay
99A,UCay
99B,UCay
99C,UCay
100A,UCay
100B,UCay
100/0A,UCay
100/OA,UCay
101A,UCay
101B,UCay
101C,UCay
102A,UCay
102B,UCay
102C,UCay
102/6A,UCay
102/0A,UCay
103A,UCay
103B,UCay
103C,UCay
103D,UCay
103E,UCay
104A,UCay
104B,UCay
105A,UCay
105B,UCay
105C,UCay
105D,UCay
106A,UCay
106B,UCay
106C,UCay
107A,UCay
107B,UCay
107C,UCay
108A,UCay
108B,UCay
108C,UCay
109A,UCay
109B,UCay
109C,UCay
110A,UCay
110B,UCay
111A,UCay
111B,UCay
111C,UCay
112A,UCay
113A,UCay
113B,UCay
114A,UCay
114B,UCay
115A,UCay
115B,UCay
116A,UCay
116B,UCay
116C,UCay
117A,UCay
117B,UCay
117C,UCay
118A,UCay
118B,UCay
119A,UCay
119B,UCay
120A,UCay
120/0A,UCay
120/0B,UCay
120/0,UCay
121A,UCay
121B,UCay
122A,UCay
122B,UCay
124A,UCay
124B,UCay
125A,UCay
125B,UCay
125C,UCay
126A,UCay
126B,UCay
126C,UCay
127A,UCay
127B,UCay
127C,UCay
128A,UCay
128B,UCay
130A,UCay
130B,UCay
130C,UCay
132A,UCay
132B,UCay
133A,UCay
133B,UCay
134A,UCay
134B,UCay
135A,UCay
135B,UCay
136A,UCay
136B,UCay
136C,UCay
137A,UCay
137B,UCay
138A,UCay
138B,UCay
139A,UCay
139B,UCay
140A,UCay
140B,UCay
141A,UCay
141B,UCay
141C,UCay
142A,UCay
142B,UCay
143A,UCay
143B,UCay
144A,UCay
144B,UCay
145A,UCay
145B,UCay
145C,UCay
146A,UCay
147A,UCay
148A,UCay
148B,UCay
148C,UCay
149A,UCay
149B,UCay
150A,UCay
150B,UCay
150C,UCay
150D,UCay
151A,UCay
151B,UCay
152A,UCay
152B,UCay
153A,UCay
153B,UCay
155A,UCay
155B,UCay
155C,UCay
156A,UCay
156B,UCay
156C,UCay
157A,UCay
157B,UCay
158A,UCay
158B,UCay
