animal_id,sex,age,date,svl,tail-length,body-mass,feeding,,,,
4/8A,male,5.7,5/19/16,18.9,25.7,253,high,,,,
4/8A,male,6.7,5/14/17,20.5,28.2,345,high,,,,
4/8A,male,7.9,9/2/18,25.2,33.6,660,high,,,,
4/9A,male,NA,5/18/13,22.9,30.3,350,high,,,,
4/9A,male,NA,5/19/16,25.6,29.6,655,high,,,,
4/9A,male,NA,6/23/16,26.5,34.1,585,high,,,,
4/9A,male,NA,9/2/16,26.5,34,615,high,,,,
4/9A,male,NA,5/16/17,27,34.7,630,high,,,,
4/9A,male,NA,6/1/18,28.6,36.7,815,high,,,,
4/0D,male,4.8,6/21/02,18.3,24.1,245,high,,,,
4/0D,male,5.7,5/17/03,20,27.1,347,high,,,,
4/0D,male,7.7,5/15/05,22.1,29.6,375,high,,,,
4/0D,male,10.7,5/12/08,26,34.4,713,high,,,,
4/0D,male,11.7,5/18/09,27.4,35.9,770,high,,,,
4/0D,male,12.7,5/14/10,28,37,750,high,,,,
4/0E,female,NA,5/16/08,26.7,34.1,670,high,,,,
5/6A,male,2.7,5/17/15,15.1,21.2,160,high,,,,
5/6A,male,3.7,5/19/16,17.8,24.9,215,high,,,,
5/6A,male,4.7,5/14/17,19.7,27.4,463,high,,,,
5/6A,male,6.7,5/16/19,24.5,33.7,625,high,,,,
5/7A,female,4.7,5/17/15,17.5,26,250,high,,,,
5/7A,female,5.7,5/18/16,20,28.6,331,high,,,,
5/7A,female,6.7,5/14/17,21.3,30.2,395,high,,,,
5/7A,female,7.7,6/1/18,22,32,565,high,,,,
5/7A,female,8.7,5/18/19,24.1,32.9,540,high,,,,
5/9A,male,3.7,5/18/13,15.6,22.5,135,high,,,,
5/9A,male,5.7,5/17/15,19.2,27.8,297,high,,,,
5/9A,male,6.7,5/19/16,22.5,32.6,495,high,,,,
5/9A,male,6.8,6/25/16,23.5,33.1,512,high,,,,
5/9A,male,7.7,5/14/17,25.5,34.9,660,high,,,,
5/9A,male,8.9,9/2/18,30.1,39.8,1120,high,,,,
5/9A,male,9.7,5/18/19,31.8,42.1,1375,high,,,,
6D,female,3.7,5/17/02,17,23.3,130,high,,,,
6D,female,9.7,5/13/08,25.4,34,595,high,,,,
6D,female,10.7,5/19/09,25,35,781,high,,,,
6D,female,11.7,5/13/10,25.7,35.4,585,high,,,,
6D,female,12.7,5/16/11,26.7,36.1,830,high,,,,
6D,female,14.7,5/21/13,27.3,36.6,735,high,,,,
6D,female,16.7,5/22/15,28.7,36.9,895,high,,,,
6D,female,17.7,5/20/16,28.5,37.4,900,high,,,,
6D,female,18.7,5/14/17,29.2,37.6,835,high,,,,
7/0B,female,5.5,3/12/93,19.3,26.8,330,high,,,,
7/0B,female,6.5,3/20/94,21.1,28.2,398,high,,,,
7/0B,female,8.5,3/22/96,22.1,30.2,445,high,,,,
7/0B,female,13.7,5/13/01,25.8,33,700,high,,,,
7/0B,female,14.8,6/21/02,26.2,34.7,729,high,,,,
7/0B,female,16.7,5/12/04,27,34.8,685,high,,,,
7/0B,female,17.7,5/13/05,28.5,34.7,825,high,,,,
7/0B,female,21.7,5/19/09,28.4,36,1038,high,,,,
7/0B,female,27.7,5/22/15,30.1,35.7,1033,high,,,,
7/0B,female,29.7,5/17/17,29.5,35,1455,high,,,,
7/0B,female,31.7,5/18/19,30,35,NA,high,,,,
8C,female,0.7,5/17/02,11.4,16,53,high,,,,
8C,female,2.7,5/13/04,13.1,17.9,90,high,,,,
8C,female,11.7,5/21/13,25.5,34.1,638,high,,,,
8C,female,14.7,5/20/16,26.6,35.8,750,high,,,,
9D,female,NA,3/12/93,28.4,37,645,high,,,,
9D,female,NA,3/18/95,28.5,38,955,high,,,,
9D,female,NA,3/10/98,31,41.5,1410,high,,,,
9D,female,NA,3/20/00,32,40.5,1190,high,,,,
9D,female,NA,5/10/01,31.2,40.1,1190,high,,,,
9D,female,NA,5/16/02,31.8,NA,1190,high,,,,
9E,male,6.8,5/15/02,20.5,28.7,351,high,,,,
9/0A,female,7.5,3/21/96,21.5,NA,375,high,,,,
9/0A,female,11.5,3/19/00,27.5,NA,857,high,,,,
9/0A,female,12.7,5/9/01,28.7,NA,890,high,,,,
9/0A,female,13.7,5/15/02,29,NA,921,high,,,,
9/0A,female,14.7,5/15/03,29.5,NA,1067,high,,,,
9/0A,female,15.7,5/12/04,30.7,NA,1058,high,,,,
9/0A,female,16.7,5/13/05,30.5,NA,1135,high,,,,
9/0A,female,19.7,5/11/08,30.5,NA,961,high,,,,
9/0A,female,20.7,5/18/09,30.5,NA,1272,high,,,,
9/0A,female,21.5,4/1/10,31.2,NA,1150,high,,,,
9/0A,female,21.7,5/12/10,31.2,NA,1125,high,,,,
9/0A,female,22.7,5/16/11,31.5,NA,1120,high,,,,
9/0A,female,24.7,5/18/13,31.5,NA,1370,high,,,,
9/0A,female,26.7,5/17/15,32.7,NA,1259,high,,,,
0A,male,NA,3/10/80,33.02,42.55,1355,high,,,,
0A,male,NA,3/18/82,34.29,43.18,1550,high,,,,
0A,male,NA,5/9/01,35.5,44.5,2300,high,,,,
0A,male,NA,5/15/02,39.5,46,2840,high,,,,
0A,male,NA,5/14/03,40.5,47.6,3267,high,,,,
0A,male,NA,5/12/04,43.2,48.5,3588,high,,,,
0A,male,NA,5/13/05,42,48,3497,high,,,,
0A,male,NA,3/19/06,NA,NA,NA,high,,,,
0B,male,NA,3/18/95,25.3,35.2,598,high,,,,
0B,male,NA,3/22/96,26.1,36,610,high,,,,
0B,male,NA,3/11/98,27.5,38.2,840,high,,,,
0B,male,NA,3/19/00,33,44.1,1446,high,,,,
0B,male,NA,5/9/01,34.8,46.1,1775,high,,,,
0B,male,NA,6/27/02,37.5,48.4,2220,high,,,,
0B,male,NA,5/17/03,38.5,49.1,2583,high,,,,
0B,male,NA,5/12/04,40.4,49.1,2862,high,,,,
0B,male,NA,5/14/05,41,49.7,2902,high,,,,
10/30A,female,NA,5/16/13,28.5,32.1,780,high,,,,
10/80A,female,NA,5/12/10,27.5,36.5,793,high,,,,
10/80A,female,NA,5/16/11,27.8,37.1,245,high,,,,
10/80A,female,NA,5/17/15,28.7,38.2,895,high,,,,
10/80A,female,NA,5/19/16,29.2,38.7,865,high,,,,
10/80A,female,NA,5/18/19,29,37.9,880,high,,,,
10/90A,female,NA,5/17/13,21.7,29.9,411,high,,,,
10/90A,female,NA,5/18/16,24.4,33.7,580,high,,,,
10/90A,female,NA,5/14/17,25.6,NA,660,high,,,,
10/90A,female,NA,5/17/19,28.9,NA,978,high,,,,
10/90B,male,NA,5/16/13,31.4,40.5,1141,high,,,,
10/90B,male,NA,5/17/16,35.2,43.5,1775,high,,,,
10/90B,male,NA,5/16/17,37,45.4,2135,high,,,,
10/0A,male,NA,3/19/86,28.89,38.74,989,high,,,,
10/0A,male,NA,3/19/88,31.75,43.18,1500,high,,,,
10/0A,male,NA,3/20/90,38.74,48.26,2570,high,,,,
10/0A,male,NA,5/18/13,31.7,39.2,943,high,,,,
10/0C,female,5.7,5/18/15,19.4,26.1,272,high,,,,
10/0C,female,7.7,5/14/17,21.5,30.1,412,high,,,,
10/0C,female,9.7,5/23/19,23.8,33.2,623,high,,,,
11C,female,NA,6/22/01,24.4,32.7,NA,high,,,,
11C,female,NA,5/15/02,25,32.7,504,high,,,,
11C,female,NA,5/14/03,25.4,34,636,high,,,,
11C,female,NA,5/12/04,25.1,34,589,high,,,,
11C,female,NA,5/13/05,26.3,34.2,693,high,,,,
11C,female,NA,5/18/09,27.5,35.2,655,high,,,,
11E,male,NA,6/1/18,25.5,34.5,715,high,,,,
11/6A,male,2.7?,5/13/10,14.5,19.7,115,high,,,,
11/6A,male,NA,5/19/15,24.5,32.2,546,high,,,,
11/6A,male,9.7,5/14/17,26.6,34.7,695,high,,,,
11/7A,female,1.7,5/13/10,13.2,18.9,78,high,,,,
11/7A,female,2.7,5/16/11,14.9,21,115,high,,,,
11/7A,female,4.7,5/17/13,19.4,28.3,302,high,,,,
11/7A,female,6.7,5/17/15,23.2,32.9,540,high,,,,
11/7A,female,7.7,5/19/16,24.5,34.5,588,high,,,,
11/7A,female,8.7,5/14/17,26,36,705,high,,,,
11/7A,female,9.7,6/1/18,26.5,37.6,850,high,,,,
